AL,2.365,1.465
AK,2.565,1.26
AZ,2.81,1.585
CA,2.935,1.785
CO,2.995,1.66
CT,4.055,1.86
DE,3.38,2.005
FL,3.285,1.335
GA,3.2,1.455
HI,2.935,1.295
ID,3.585,1.335
IL,3.105,1.885
IN,4.205,1.715
KS,2.995,1.875
KY,3.35,1.85
LA,3.46,1.415
ME,2.2,1.3
MD,3.39,1.73
MA,3.59,1.885
MI,3.325,1.495
MN,2.65,1.875
MS,2.465,1.62
MT,2.63,1.155
NV,2.9,1.425
NH,3.225,1.68
NJ,4.275,1.725
NM,3.04,1.86
NY,4.405,1.57
NC,3.29,1.62
OH,3.175,1.84
OK,3.73,1.555
OR,3.17,1.515
PA,3.47,1.54
RI,3.395,1.98
SC,2.565,1.465
TN,3.035,1.525
TX,3.82,1.5
VT,3.05,1.265
VA,3.11,1.79
WA,3.09,1.335
WV,3.855,1.65
WI,3.285,1.575
AL,2.365,1.465
AK,2.565,1.26
AZ,2.81,1.585
CA,2.935,1.785
CO,2.995,1.66
CT,4.055,1.86
DE,3.38,2.005
FL,3.285,1.335
GA,3.2,1.455
HI,2.935,1.295
ID,3.585,1.335
IL,3.105,1.885
IN,4.205,1.715
KS,2.995,1.875
KY,3.35,1.85
LA,3.46,1.415
ME,2.2,1.3
MD,3.39,1.73
MA,3.59,1.885
MI,3.325,1.495
MN,2.65,1.875
MS,2.465,1.62
MT,2.63,1.155
NV,2.9,1.425
NH,3.225,1.68
NJ,4.275,1.725
NM,3.04,1.86
NY,4.405,1.57
NC,3.29,1.62
OH,3.175,1.84
OK,3.73,1.555
OR,3.17,1.515
PA,3.47,1.54
RI,3.395,1.98
SC,2.565,1.465
TN,3.035,1.525
TX,3.82,1.5
VT,3.05,1.265
VA,3.11,1.79
WA,3.09,1.335
WV,3.855,1.65
WI,3.285,1.575
CA,2.935,1.785
